vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
-1.022723,-0.2159622,-10.944145,-7.0400786,-0.07474614,-0.17703143,-10.755583,-0.18207055,-0.06293509,-0.3050606,0
-1.212346,-0.55941623,-12.446522,-4.6563435,-0.019674953,-0.19183174,-4.2497663,-0.18853459,-0.06248703,-0.34580526,0
-1.0710744,-0.36864808,13.366393,2.8380554,-0.024524106,-0.1838827,0.9183928,-0.18062106,-0.036846384,-0.21802515,1
-1.3043329,-0.6097764,3.271997,-1.226709,-0.014457094,-0.18710221,-0.90943134,-0.15334806,-0.049922273,-0.30820057,1
-0.9124029,-0.3202227,-13.16094,-4.4873905,-0.03514868,-0.14172015,-4.2218313,-0.18858594,-0.045433387,-0.30992222,0
0.10393327,0.026951583,11.746223,1.8768735,-0.083969556,0.01732239,2.0584946,-0.18615818,-0.04472135,-0.3461253,1
-0.4317847,-0.05017067,-9.963831,-7.8842735,-0.08865774,-0.05270708,-1.8271755,-0.16939414,-0.04355344,-0.34612498,0
-0.26747373,-0.03671656,9.496732,4.934252,-0.07278632,-0.05073161,0.9472735,-0.1871537,-0.067179814,-0.25864667,0
-1.3313993,-0.67124933,16.06396,-1.2123898,0.0019006578,-0.26139003,0.46547723,-0.16452023,-0.048198603,0.18454194,1
-0.3979484,-0.06820084,-13.05558,-7.518936,-0.08568207,-0.049571954,-3.8910356,-0.18390015,-0.03994246,-0.34620193,0
-0.3983982,-0.05744269,12.664869,8.069024,-0.07492721,-0.021353154,2.360475,-0.18560353,-0.03913013,-0.3461397,1
-0.8299087,-0.6247779,14.671722,5.460448,0.026359003,-0.23927447,1.767198,-0.18756998,-0.039824925,0.10644064,1
-0.95970017,-0.38651028,15.079259,7.1597667,-0.018910913,-0.22174582,6.4070396,-0.18554237,-0.042103544,-0.20926422,1
-0.24623495,0.0047857035,19.111132,1.7130696,-0.08715386,-0.07553311,2.8160512,-0.18907106,-0.039974175,-0.34612033,1
-0.93204427,-0.35626388,5.7118573,4.899936,0.011945218,-0.23815912,-0.57955533,-0.18955284,-0.036982983,-0.29985973,1
-1.1440631,-0.579231,-11.361472,-3.4345796,0.002355039,-0.22088413,-4.9695187,-0.18574241,-0.026187293,-0.11229473,0
