vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
0.27636838,-0.2340928,0.20235576,-0.033374567,-0.013316123,-0.32627806,0.4079872,-0.78389376,-0.013563077,5.9660115,1
0.44817522,-0.28341162,-0.8119771,-0.45302963,-0.058031093,-2.0631762,1.0221728,-0.6629431,-0.013911816,14.658945,1
0.36106196,-0.17495647,1.8725628,-0.47897285,-0.051766753,-1.8159504,0.2512662,-0.65287626,-0.014455455,13.105234,1
-1.0557004,-0.8090589,0.53644097,-0.5404365,-0.047545616,-1.706703,-0.9106488,-0.5825907,-0.014682802,0.122589946,1
-1.885908,-0.95643777,-1.3933147,-0.49998748,-0.04502373,-1.6328399,-1.1352999,-0.6800724,-0.013963263,-7.358846,0
-0.5142542,-1.002837,0.7764756,-0.4863215,-0.05361148,-1.7842404,0.8306244,-0.57614934,-0.015266004,7.834173,1
-0.61908954,-0.23358065,-1.6356138,-0.2236401,-0.042868707,-1.6324502,-0.6404166,-0.5689132,-0.012974265,-10.815384,0
-0.8035664,-0.85742426,-1.2481142,-0.4092992,-0.017978817,-0.6634939,-1.1847662,-0.57612014,-0.012935172,-12.41589,0
-0.6862495,-1.1518245,-1.3518008,-0.5742839,-0.050126307,-1.5873897,-0.36008105,-0.7570864,-0.014440085,-14.734813,0
-1.0108804,-0.98133224,-0.3676649,-0.5516996,-0.055147786,-1.8240379,-0.64305747,-0.51346886,-0.013983238,-4.2607274,1
-0.8263773,-1.0294399,-0.5256211,-0.5833101,-0.049156126,-1.5594677,0.57602406,-0.5848943,-0.014436993,3.7856379,1
0.22604688,-0.108650826,0.24555114,-0.48704943,-0.040807884,-1.484598,1.0295337,-0.6937112,-0.013768266,-12.140919,0
0.21701789,0.13185954,0.75809735,-0.0057896413,-0.012530291,-0.3534923,1.6012809,-0.7367039,-0.012757446,8.00128,1
-0.288306,-0.12955573,0.008962514,-0.0586521,-0.012628509,-0.4015264,-0.42843825,-0.81922054,-0.0129049225,-11.407589,0
-0.095826834,-0.19624843,-0.7561731,-0.30259827,-0.024836734,-0.92039645,0.4915262,-0.6176919,-0.0128024025,-3.7380414,0
-1.330036,-1.292743,-1.3208767,-0.5557766,-0.06425744,-2.244169,-0.56505847,-0.61095774,-0.014739218,6.999633,1
-0.5378955,-0.20397963,-0.5215984,-0.035718866,-0.014724018,-0.5996543,-2.1376903,-0.60598874,-0.013976271,-7.3073635,0
-0.052796885,-0.055099808,-0.30588698,-0.052029755,-0.01980315,-0.8999406,-0.053526603,-0.66304386,-0.013120967,8.931728,1
-0.647789,-1.0668873,-0.17241272,-0.5838878,-0.054469943,-1.8754715,0.09880445,-0.49805143,-0.0150088845,7.4872737,1
0.27212557,-0.55935,1.7221955,-0.53216934,-0.0576546,-2.0304248,1.856972,-0.52208304,-0.01478562,9.7983465,1
0.4275623,0.14985462,0.27475688,-0.03990172,-0.01233824,-0.42385027,0.6238665,-1.0045832,-0.012665811,11.743192,1
-0.26344773,-0.14476135,1.370354,-0.52849454,-0.043077152,-1.7196356,0.45951465,-0.79698414,-0.014472361,11.680798,1
-0.80188906,-1.1593094,-0.941233,-0.52539635,-0.050835762,-1.855328,-0.381277,-0.66554034,-0.014902751,-9.60454,0
-1.1826633,-0.6037618,-1.8151137,-0.19434865,-0.04121724,-1.6370091,-0.50973034,-0.49391988,-0.013377438,-11.355822,0
